Price,District,DistrictCode,Size,StationDistance,BuildYear,Reform
55,中央区,D02,30,10,2015,0
110,中央区,D02,70,11,2013,0
65,中央区,D02,55,12,2009,0
99,中央区,D02,65,12,2019,0
110,中央区,D02,70,12,2019,0
59,中央区,D02,35,3,2020,0
25,中央区,D02,15,1,2004,0
47,中央区,D02,35,2,2011,0
32,中央区,D02,30,2,2004,0
25,中央区,D02,20,1,2003,1
68,中央区,D02,50,1,2015,0
31,中央区,D02,20,5,2003,0
99,中央区,D02,65,4,2005,0
330,中央区,D02,115,7,2017,0
160,中央区,D02,80,6,2019,0
63,中央区,D02,50,6,2004,1
30,港区,D03,45,8,1977,0
90,港区,D03,60,8,1977,0
570,港区,D03,160,6,2014,0
17,港区,D03,20,4,1977,0
69,港区,D03,40,4,2013,0
140,港区,D03,65,5,2014,0
150,港区,D03,50,5,2014,0
20,港区,D03,20,2,1977,1
190,港区,D03,60,3,2016,1
33,港区,D03,20,7,1983,1
18,港区,D03,15,7,1983,0
85,港区,D03,60,2,1996,0
44,港区,D03,25,3,2014,0
100,港区,D03,55,3,1999,1
190,港区,D03,55,7,2014,1
200,港区,D03,70,4,2023,0
300,港区,D03,120,6,2013,1
26,港区,D03,20,8,2004,0
170,港区,D03,100,4,1998,1
85,港区,D03,70,15,2006,0
90,港区,D03,55,11,2014,0
88,港区,D03,75,15,2005,1
150,港区,D03,90,10,2004,1
100,港区,D03,70,6,2005,0
88,港区,D03,75,6,2005,0
200,港区,D03,150,14,2005,0
92,港区,D03,60,6,2005,0
100,港区,D03,70,6,2005,0
110,港区,D03,85,7,2006,0
140,港区,D03,65,6,2017,0
32,港区,D03,20,1,2002,0
38,港区,D03,25,4,2014,0
69,港区,D03,45,2,2006,0
160,港区,D03,85,3,2006,0
170,港区,D03,90,3,2006,0
100,港区,D03,60,4,2001,1
150,港区,D03,85,3,2006,0
78,港区,D03,55,11,2014,0
100,港区,D03,55,11,2015,0
25,港区,D03,20,9,2000,0
91,港区,D03,65,8,2007,0
27,港区,D03,20,8,2002,0
65,港区,D03,60,10,1982,1
130,港区,D03,100,8,2006,0
59,港区,D03,40,10,2023,0
20,港区,D03,40,5,1978,0
100,港区,D03,70,8,2007,0
190,港区,D03,125,8,2007,0
100,港区,D03,80,14,2006,1
120,港区,D03,85,8,2006,0
110,港区,D03,85,8,2006,0
35,港区,D03,25,10,2007,0
26,港区,D03,20,6,2004,0
68,港区,D03,70,9,2001,0
25,港区,D03,40,2,1983,0
36,港区,D03,25,2,2014,0
62,港区,D03,75,7,1970,0
190,港区,D03,65,10,2015,0
90,港区,D03,50,4,2001,0
160,港区,D03,65,3,2023,0
